NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Pozon El,Hatillo de Loba,Bolivar,28.82,43.02,41.69,146.2,302.4,265.8,245.0,314.6,345.3,424.3,253.1,118.2,2528.43
Apto Baracoa,Magangue,Bolivar,8.244,22.55,27.6,83.12,145.4,140.9,145.7,160.8,178.0,147.6,78.7,28.83,1167.4439999999997
Barbosa,Magangue,Bolivar,12.39,24.67,36.82,125.0,236.7,247.4,261.8,267.4,314.7,332.1,211.7,103.5,2174.18
Barranco de Yuca,Magangue,Bolivar,13.12,12.67,21.06,88.82,193.6,193.7,170.8,183.1,193.3,188.6,128.6,31.99,1419.36
Coyongal Alertas,Magangue,Bolivar,18.87,27.75,37.48,116.5,261.3,265.1,254.4,259.8,295.9,358.6,306.1,114.8,2316.6
San Antonio Alerta,Magangue,Bolivar,8.16,17.8,20.16,92.98,253.2,246.0,246.7,305.8,281.7,300.2,186.0,63.96,2022.66
Gamero,Mahates,Bolivar,12.45,24.63,32.66,103.0,183.6,149.0,151.1,179.1,181.0,228.3,123.6,39.29,1407.73
San Basilio,Mahates,Bolivar,30.39,36.67,44.52,111.6,245.4,196.2,175.4,261.9,274.1,285.3,181.6,58.03,1901.11
Viso El,Mahates,Bolivar,10.17,35.44,33.74,88.6,158.6,181.7,175.8,198.2,190.6,219.0,124.5,59.9,1476.25
Chilloa,Margarita,Bolivar,14.5,22.79,64.87,146.4,237.0,209.9,138.6,218.9,255.4,277.1,168.7,56.7,1810.86
Calma La,Maria La Baja,Bolivar,65.26,52.31,75.37,149.2,246.6,191.3,177.1,209.8,232.1,305.9,218.4,95.8,2019.14
Colu Nuevo,Maria La Baja,Bolivar,28.82,35.02,42.61,115.4,217.5,215.6,221.6,283.7,246.5,287.4,213.2,107.9,2015.25
Flamenco,Maria La Baja,Bolivar,9.862,14.16,21.31,74.56,160.5,135.6,155.5,157.3,187.2,215.6,132.1,59.03,1322.7219999999998
Mampujan,Maria La Baja,Bolivar,35.94,55.87,58.06,168.6,227.1,201.2,180.2,245.3,265.4,262.7,170.9,113.2,1984.47
Nispero El,Maria La Baja,Bolivar,15.51,16.33,21.63,99.49,191.5,166.6,160.6,192.9,185.2,252.2,152.7,63.41,1518.07
Nueva Florida,Maria La Baja,Bolivar,17.14,29.61,25.43,94.25,179.4,175.2,175.1,204.9,186.3,197.4,152.1,52.6,1489.43
Platano,Maria La Baja,Bolivar,36.89,39.45,50.02,96.05,177.7,168.8,147.8,162.3,222.1,247.6,171.2,89.84,1609.75
Presa Ay Grande,Maria La Baja,Bolivar,26.42,40.36,42.64,128.7,193.0,169.5,179.1,197.2,201.3,236.4,180.8,82.39,1677.81
Presa Ay Matuya,Maria La Baja,Bolivar,36.65,39.34,45.35,114.8,223.6,218.6,177.6,206.1,238.1,262.1,170.3,70.94,1803.48
Pto Santander,Maria La Baja,Bolivar,13.88,22.67,26.21,104.2,182.8,184.2,198.9,237.3,231.6,253.8,189.5,76.31,1721.37
San Pablo,Maria La Baja,Bolivar,20.92,27.1,37.82,108.8,177.8,185.5,171.5,211.1,211.5,255.3,162.6,77.75,1647.69
Candelaria,Mompos,Bolivar,17.6,22.95,25.82,120.9,248.0,218.6,209.5,234.5,295.0,309.5,196.7,88.39,1987.46
Guaymaral,Mompos,Bolivar,19.85,17.95,24.85,135.5,267.8,233.7,189.8,269.6,272.7,278.4,192.3,85.09,1987.54
Mompos,Mompos,Bolivar,8.734,15.7,31.32,121.7,208.1,148.8,133.6,158.0,210.8,234.5,101.8,69.75,1442.804
Sta Cruz,Mompos,Bolivar,17.72,14.96,23.07,117.4,221.1,227.8,247.9,292.0,303.6,325.2,185.6,70.77,2047.12
Montecristo,Montecristo,Bolivar,54.36,89.88,125.6,346.7,572.4,419.0,466.0,519.3,530.3,617.3,482.0,228.3,4451.14
Regencia,Montecristo,Bolivar,75.82,96.71,100.6,411.8,465.9,444.4,437.1,530.0,421.5,592.5,487.9,176.8,4241.03
Morales-La Cruz,Morales,Bolivar,6.718,19.91,18.76,105.5,160.0,155.7,109.4,122.5,157.1,164.0,69.1,15.64,1104.3280000000002
Pinillos,Pinillos,Bolivar,15.63,14.16,35.69,102.4,216.3,207.0,184.7,232.2,295.8,291.8,223.2,107.8,1926.68
Regidor,Regidor,Bolivar,7.286,33.41,67.17,119.9,193.0,164.3,117.6,183.4,191.7,247.4,144.1,36.77,1506.036
Norosi,Rio Viejo,Bolivar,6.652,13.57,43.16,156.1,208.0,168.2,146.4,179.6,214.6,222.3,119.7,26.24,1504.522
